global,time,ag_con_fert_zs
world,1976,70.95354
world,1977,76.67553
world,1978,82.14839
world,1979,87.11071
world,1980,89.02293
world,1981,87.87596
world,1982,86.73847
world,1983,91.73589
world,1984,95.5007
world,1985,91.4195
world,1986,93.33587
world,1987,97.62495
world,1988,103.23497
world,1989,103.59494
world,1990,101.95272
world,1991,101.70618
world,1992,92.8616
world,1993,89.17787
world,1994,92.23042
world,1995,97.75213
world,1996,100.9457
world,1997,103.22701
world,1998,103.60649
world,1999,105.28876
world,2000,101.77025
world,2001,103.98087
world,2002,108.22365
world,2003,110.64652
world,2004,117.07422
world,2005,117.3732
world,2006,120.18217
world,2007,126.46038
world,2008,119.97462
world,2009,117.958
world,2010,130.14779
world,2011,135.37203
world,2012,131.89615
world,2013,134.55403
world,2014,137.99429
world,2015,135.83144
world,2016,138.15596
world,2017,138.93934
world,2018,136.82423
