global,time,dc_dac_irll_cd
world,1974,1029999.97139
world,1975,870000.00477
world,1976,1370000.00477
world,1977,1710000.03815
world,1978,5219999.79019
world,1979,9550000.19073
world,1980,9769999.50409
world,1981,10340000.15259
world,1982,12220000.26703
world,1983,13960000.03815
world,1984,14630000.11444
world,1985,17219999.31335
world,1986,25299999.23706
world,1987,27340000.15259
world,1988,21909999.84741
world,1989,19129999.16077
world,1990,24329999.92371
world,1991,29659999.84741
world,1992,28010000.22888
world,1993,40849998.47412
world,1994,58209999.08447
world,1995,88709999.08447
world,1996,115000000
world,1997,120980003.35693
world,1998,123360000.61035
world,1999,148600006.10352
world,2000,154259994.50684
world,2001,184660003.66211
world,2002,267510009.76562
world,2003,352380004.88281
world,2004,412500000
world,2005,482079986.57227
world,2006,632070007.32422
world,2007,823460021.97266
world,2008,930270019.53125
world,2009,692989990.23438
world,2010,585190002.44141
world,2011,603210021.97266
world,2012,536109985.35156
world,2013,545450012.20703
world,2014,518780029.29688
world,2015,427489990.23438
world,2016,426880004.88281
world,2017,492640014.64844
world,2018,530239990.23438
world,2019,566900024.41406
