global,time,ne_exp_gnfs_kd_zg
world,1971,6.04756
world,1972,8.5762
world,1973,10.82387
world,1974,5.17167
world,1975,-2.79588
world,1976,9.45556
world,1977,5.41016
world,1978,4.8508
world,1979,6.04223
world,1980,2.98374
world,1981,4.72894
world,1982,0.26838
world,1983,3.30779
world,1984,9.05851
world,1985,4.34581
world,1986,2.66539
world,1987,6.30681
world,1988,8.05033
world,1989,7.33731
world,1990,5.34316
world,1991,2.92522
world,1992,3.0317
world,1993,3.76085
world,1994,8.84513
world,1995,9.13323
world,1996,6.41779
world,1997,10.05946
world,1998,4.40683
world,1999,5.02565
world,2000,11.89374
world,2001,0.65117
world,2002,2.92755
world,2003,4.4839
world,2004,10.23259
world,2005,6.99494
world,2006,8.75482
world,2007,6.67161
world,2008,2.94651
world,2009,-9.864
world,2010,11.7076
world,2011,6.42431
world,2012,2.71152
world,2013,2.98154
world,2014,3.49168
world,2015,3.43552
world,2016,2.67031
world,2017,5.17917
world,2018,4.35317
world,2019,1.07071
world,2020,-8.93494
