global,time,sl_tlf_totl_in
world,1990,2319716315
world,1991,2360683782
world,1992,2403252739
world,1993,2441864782
world,1994,2486713082
world,1995,2527209413
world,1996,2570657864
world,1997,2614059479
world,1998,2655254717
world,1999,2703289882
world,2000,2749084466
world,2001,2788798679
world,2002,2831658153
world,2003,2879024625
world,2004,2928166468
world,2005,2975736272
world,2006,3012318357
world,2007,3050005162
world,2008,3081528448
world,2009,3110164568
world,2010,3137220685
world,2011,3170891019
world,2012,3202956082
world,2013,3235252408
world,2014,3270350626
world,2015,3308621649
world,2016,3344259340
world,2017,3379573742
world,2018,3414233211
world,2019,3456139895
world,2020,3389312440
world,2021,3453275381
